item,qty,function,manufacturer,part_number,panel_interface,selection_status,release_blocker,local_drawing_or_reference,source_url
1,8,Balanced XLR output,Neutrik,NC3MAV,"A-series PCB receptacle; manufacturer panel cutout",Selected,"Mounting side; latch orientation; sample coupon",docs/mechanical-parts/neutrik-nc3mav-drawing.pdf,https://www.neutrik.com/en/product/nc3mav
2,8,Balanced XLR input,Neutrik,NC3FAV,"A-series PCB receptacle; manufacturer panel cutout",Selected,"Mounting side; latch orientation; sample coupon",docs/mechanical-parts/neutrik-nc3fav-drawing.pdf,https://www.neutrik.com/en/product/nc3fav
3,4,Vertical 1GbE MagJack,Bel,V8BR-1AX1-GH,"PCB mounted; top-panel clearance opening",Selected,"Final PCB Z datum; plug latch and LED clearance",Manufacturer web drawing,https://www.belfuse.com/products/ethernet/magjacks-icms/v8br-1ax1-gh
4,1,Fused unswitched C14 inlet,Qualtek,719W-00/03,"36 x 44 flange; exact front/rear cutout per drawing",Conditional,"Accept 10 A rating; select mounting side; mains barrier",docs/mechanical-parts/qualtek-719w-00-03-drawing.pdf,https://www.qualtekusa.com/images/AC_Receptacles/pdfs/719w0003.pdf
5,1,Backup power inlet,LEMO,EGG.1B.302.CLL,M12 panel drill,Selected,"Accept IP50; keying and rear nut clearance",docs/mechanical-parts/lemo-egg-1b-302-cll-datasheet.pdf,https://www.lemo.com/pdf/EGG.1B.302.CLL.pdf
6,1,Dual-source low-voltage main power control,E-Switch,RA812C1121,"DPST snap-in rocker; 13.0 mm high x 19.2/19.4/19.62 mm wide by panel thickness",Selected,"Panel must be <=3.0 mm at switch; verify snap retention and four FASTON clearances",docs/mechanical-parts/e-switch-ra812c1121-drawing.pdf,https://www.e-switch.com/product/ra8-series-illuminated-power-rocker-switch-with-pvc-cap/?part-number=RA812C1121
7,1,CTIA headset jack,Kycon,STX-353K7A-6N-KTTR,"PCB mounted; concentric panel clearance",Selected,"Final PCB Z height; plug clearance; panel coupon",docs/mechanical-parts/kycon-stx-353k7a-drawing.pdf,https://www.kycon.com/Catalog_PDF/STX-353K7A.pdf
8,2,Green 12 V status indicator,Bulgin,DX06WG012B,6 mm round cutout,Selected,"Rear nut and lead clearance",docs/mechanical-parts/bulgin-dx06-indicators-catalog.pdf,https://www.bulgin.com/us/products/pub/media/bulgin/data/Indicators.pdf
9,1,Yellow 12 V status indicator,Bulgin,DX06WY012B,6 mm round cutout,Selected,"Rear nut and lead clearance",docs/mechanical-parts/bulgin-dx06-indicators-catalog.pdf,https://www.bulgin.com/us/products/pub/media/bulgin/data/Indicators.pdf
10,1,Blue 12 V status indicator,Bulgin,DX06WB012B,6 mm round cutout,Selected,"Rear nut and lead clearance",docs/mechanical-parts/bulgin-dx06-indicators-catalog.pdf,https://www.bulgin.com/us/products/pub/media/bulgin/data/Indicators.pdf
11,1,White 12 V status indicator,Bulgin,DX06WW012B,6 mm round cutout,Selected,"Rear nut and lead clearance",docs/mechanical-parts/bulgin-dx06-indicators-catalog.pdf,https://www.bulgin.com/us/products/pub/media/bulgin/data/Indicators.pdf
12,1,Red 12 V status indicator,Bulgin,DX06WR012B,6 mm round cutout,Selected,"Rear nut and lead clearance",docs/mechanical-parts/bulgin-dx06-indicators-catalog.pdf,https://www.bulgin.com/us/products/pub/media/bulgin/data/Indicators.pdf
13,2,Sidewall enclosure fan,Delta,THA0412AD-TZW3,"40 x 40 x 20 mm; 32 mm mounting pitch; 12 V; PWM/tach; right-wall intake and operator-wall exhaust",Selected,"Measure wall ribs/taper and nearby hardware; 20.56 CFM free air; 1.385 inH2O; IP55 fan body; verify loaded-filter operating point and 45 C chamber performance",docs/mechanical-parts/delta-tha0412ad-tzw3-spec.pdf,https://www.delta-fan.com/tha0412ad-tzw3.html
14,1,Sidewall intake filter guard,Qualtek,09150-F/30,"40 mm frame; 32 mm pitch; four 4.3 mm holes; right wall",Selected,"Intake only; reinforcement plate; gasket; center aperture and filter service access",docs/mechanical-parts/qualtek-09150f-filter-drawing.pdf,https://www.qualtekusa.com/images/Fan%20Accessories/PDFDrawings/09150f.pdf
15,1,Sidewall exhaust guard,Qualtek,09150-G,"40 mm frame; 32 mm pitch; four 4.3 mm holes; operator wall",Selected,"Add custom formed 5052-H32 downward splash hood; verify handle/frame clearance pressure loss finger safety drainage and external recirculation",docs/mechanical-parts/qualtek-09150g-guard-drawing.pdf,https://www.qualtekusa.com/Catalog/Fan_Accessories/PDFDrawings/09150g.pdf
16,2,Nano-SIM holder,Wurth Elektronik,693043020611,"Vertical service daughterboard required",Conditional,"Daughterboard geometry; service cover; insertion path",docs/mechanical-parts/wurth-693043020611-datasheet.pdf,https://www.we-online.com/components/products/datasheet/693043020611.pdf
17,4,Wi-Fi bulkhead pigtail,TE Connectivity,2016695-4,"RP-SMA jack bulkhead to MHF4/UMCC4; 200 mm",Conditional,"AW7915-NP1 receptacle confirmation and route length",Manufacturer product page,https://www.te.com/usa-en/product-2016695-4.html
18,4,Cellular bulkhead pigtail,TE Connectivity,2016694-4,"SMA jack bulkhead to MHF4/UMCC4; 200 mm",Conditional,"Installed modem receptacle confirmation and route length",Manufacturer product page,https://www.te.com/fr/product-2016694-4.html
19,1,Gold Mount battery,Anton/Bauer,8675-0125,"99 x 132 x 58 mm manufacturer envelope",Selected,"Release sweep with bracket and adjacent cables; battery removed for transport closure",Manufacturer product page,https://www.antonbauer.com/en/product/dionic-xt-90-gold-mount-battery/
20,1,Gold Mount bracket,Anton/Bauer,8375-0094,"QRC-GOLD; top-panel/custom-frame mounted and mechanically independent of all PCBs; approximately 119.4 x 76.2 x 12.7 mm excluding release latch; blind-mounted from rear with 6-32 screws; open-ended positive and negative leads connect by removable high-current harness to the power-selector PCB",User locked,"Install supplied backplate; support shaded areas on flat panel/frame load path; physical sample; strain relief; latch travel; lead polarity and 12 A thermal verification",docs/mechanical-parts/anton-bauer-qrc-gold-installation.pdf,https://www.antonbauer.com/en/product/qrc-gold/
21,1,Lid touchscreen,JUNEBOX,B0GK5X95D9,"Lid mounted; documented nominal body 396.24 W x 203.20 H x 20.32 D mm; hinge-edge HDMI USB and 12 V harness",User locked,"Use documented body envelope for CAD; physically verify mount buildup VESA connector locations cable bends and final lid clearance",Amazon listing,https://www.amazon.com/dp/B0GK5X95D9
22,2,Diffused warm-white panel light,YIS Marine,LS102W,"22.0 mm round cutout / M22 x 1.5 body; 38 mm matte diffused face; 12 V; IP67",Selected concept,"Confirm nominal 3000 K sample; full-panel coverage; glare; rear depth; nut and lead clearance",Manufacturer product page,https://www.yismarine.com/en/product/LED_Step_Light_LS102.html
23,1,Night-light capacitive touch control,E-Switch,CS7L2FR,"22.20 +0.25/-0.00 mm round cutout; O-ring and nut; six-wire harness",Selected,"Sample coupon; O-ring compression; 20.70 mm rear body and lead bend clearance",docs/mechanical-parts/e-switch-cs7l2fr-drawing.pdf,https://www.e-switch.com/product/cs-series-illuminated-touch-sensor-anti-vandal-switch/
24,1,Cellular modem dedicated fan,Delta,AFB0412SHB-SP04,"40 x 40 x 15 mm; 12 V; 4-wire PWM/tach; attached to modem heatsink cartridge facing case floor",Selected,"Exact modem heat spreader; structural bracket; 10 mm inlet clearance; RF pigtail clearance; thermal chamber test",docs/mechanical-parts/delta-afb0412shb-sp04-spec.pdf,https://www.delta-fan.com/products/dc-axial-fans/afb/AFB0412SHB-SP04.html
