record_id,assembly,reference,inspection,requirement,measured_result,status,evidence_file,inspector,date,notes
DIM-001,BARE,BOARD,width,100.00 mm,,,,,,
DIM-002,BARE,BOARD,height,80.00 mm,,,,,,
DIM-003,BARE,BOARD,thickness,1.60 mm nominal,,,,,,
DIM-004,BARE,HG1,hole gauge,0.80/0.90/1.00/1.10 mm pass pins,,,,,,
VIA-001,BARE,U103/U203,Type VII microsection,continuous fill planar cap no void channel,,,,,,
QFN-001,A,U101,X-ray,record control coverage and voiding,,,,,,
QFN-002,A,U102,X-ray,record tented coverage and voiding,,,,,,
QFN-003,A,U103,X-ray,coverage >=65%; total void <=25%; no wicking,,,,,,
QFN-004,A,U201,X-ray,record control coverage and voiding,,,,,,
QFN-005,A,U202,X-ray,record tented coverage and voiding,,,,,,
QFN-006,A,U203,X-ray,coverage >=65%; total void <=25%; no wicking,,,,,,
QFN-007,B,U103,X-ray,all Type VII limits pass without rework,,,,,,
QFN-008,B,U203,X-ray,all Type VII limits pass without rework,,,,,,
QFN-009,C,U103,X-ray,all Type VII limits pass without rework,,,,,,
QFN-010,C,U203,X-ray,all Type VII limits pass without rework,,,,,,
THT-001,A,K1,insertion and seating,hand insertion; seat gap <=0.20 mm,,,,,,
THT-002,A,K1,electrical map,coil and 2 Form-C maps match drawing,,,,,,
THT-003,A,J1,insertion and seating,hand insertion; seat gap <=0.20 mm,,,,,,
THT-004,A,J1,electrical map,CTIA and switch maps match drawing,,,,,,
THT-005,A,J1,handling screen,100 cycles with no damage or continuity change,,,,,,
REL-001,ALL,ALL,engineering disposition,signed PASS required to clear gates,,,,,,
