id,group,measurement,datum_from,datum_to,units,design_target,tolerance_or_limit,measured_min,measured_max,tool,status,inspection_record
M001,case,Opening width at hinge side,B,right case wall,mm,published reference 431.8,record actual,,,,OPEN,
M002,case,Opening width at center,B,right case wall,mm,published reference 431.8,record actual,,,,OPEN,
M003,case,Opening width at operator side,B,right case wall,mm,published reference 431.8,record actual,,,,OPEN,
M004,case,Opening depth at left side,C,operator case wall,mm,published bezel reference 298.0,record actual,,,,OPEN,
M005,case,Opening depth at center,C,operator case wall,mm,published bezel reference 298.0,record actual,,,,OPEN,
M006,case,Opening depth at right side,C,operator case wall,mm,published bezel reference 298.0,record actual,,,,OPEN,
M007,case,Inside corner radius upper left,case opening,corner,mm,TBD,record actual,,,,OPEN,
M008,case,Inside corner radius upper right,case opening,corner,mm,TBD,record actual,,,,OPEN,
M009,case,Inside corner radius lower left,case opening,corner,mm,TBD,record actual,,,,OPEN,
M010,case,Inside corner radius lower right,case opening,corner,mm,TBD,record actual,,,,OPEN,
M011,case,Opening diagonal upper-left to lower-right,case opening,case opening,mm,TBD,compare within 1.0 mm,,,,OPEN,
M012,case,Opening diagonal upper-right to lower-left,case opening,case opening,mm,TBD,compare within 1.0 mm,,,,OPEN,
M013,frame,Panel recess,D,A,mm,38.1,+/-0.5,,,,OPEN,
M014,frame,Frame support width left,case wall,E,mm,15.0 minimum,>=15.0,,,,OPEN,
M015,frame,Frame support width right,case wall,E,mm,15.0 minimum,>=15.0,,,,OPEN,
M016,frame,Frame support width hinge,case wall,E,mm,15.0 minimum,>=15.0,,,,OPEN,
M017,frame,Frame support width operator,case wall,E,mm,15.0 minimum,>=15.0,,,,OPEN,
M018,frame,Panel material thickness,top face,bottom face,mm,3.2,3.0 to 3.3,,,,OPEN,
M019,frame,Frame screw edge distance,hole center,finished panel edge,mm,8.0 minimum,>=8.0,,,,OPEN,
M020,frame,Frame nut and washer intrusion,frame inner edge,hardware envelope,mm,TBD,record maximum,,,,OPEN,
M021,lid,Display total protrusion,lid cavity back surface,display/padding/front glass,mm,TBD,record maximum from actual sample,,,,OPEN,
M022,lid,Closed-lid gap at XLR bank,display front,XLR face,mm,8.0 minimum dynamic,>=8.0 after tolerance,,,,OPEN,
M023,lid,Battery-installed closure interference,display front,battery plus QRC-GOLD,mm,informational,do not latch if interference; battery is removed for transport,,,,OPEN,
M024,lid,Closed-lid gap at folded RF bank,display front,highest point of all eight folded antennas,mm,8.0 minimum dynamic,>=8.0 with released antennas installed and folded inboard,,,,OPEN,
M025,lid,Hinge harness bend radius,harness centerline,bend center,mm,10 x cable diameter minimum,record actual,,,,OPEN,
M026,lid,Hinge harness slack at full opening,harness anchors,harness loop,mm,TBD,no tension or pinch,,,,OPEN,
M027,bottom,Available depth below panel underside,panel underside,deepest interior floor,mm,published nominal 65.425 with 3.175 mm panel,record actual minimum,,,,OPEN,
M028,bottom,PSU guard vertical clearance to carrier or panel underside,PSU guard,nearest overlying carrier component or panel,mm,10.0 minimum,>=10.0 plus wiring,,,,OPEN,
M029,bottom,CM5 dedicated fan inlet clearance,fan inlet,nearest floor or bottom hardware,mm,10.0 minimum,>=10.0 through tolerance and vibration,,,,OPEN,
M030,bottom,Modem dedicated fan inlet clearance,fan inlet,nearest floor or bottom hardware,mm,10.0 minimum,>=10.0 through tolerance and vibration,,,,OPEN,
M031,battery,Left-side insertion and hand corridor,XLR hardware,battery dock edge,mm,30.0 target,>=20.0 minimum,,,,OPEN,
M032,battery,Installed right-side service clearance,battery envelope,nearest RJ45 or cable,mm,27.0 target,>=20.0 minimum,,,,OPEN,
M033,battery,Left-to-right engagement slide travel,battery start position,fully latched position,mm,TBD,complete engagement with no collision,,,,OPEN,
M034,thermal,Right-wall intake center from hinge side,C,fan axis,mm,210 preliminary,+/-0.5 after physical release,,,,OPEN,
M035,thermal,Right-wall intake center below parting line,D,fan axis,mm,71.5 preliminary,+/-0.5 after physical release,,,,OPEN,
M036,thermal,Operator-wall exhaust center from left side,B,fan axis,mm,310 preliminary,+/-0.5 after physical release,,,,OPEN,
M037,thermal,Operator-wall exhaust center below parting line,D,fan axis,mm,71.5 preliminary,+/-0.5 after physical release,,,,OPEN,
M038,thermal,Fan and PWM wiring separation to audio quiet boundary,audio boundary,nearest fan or PWM harness,mm,100 target,>=100 where practical; engineering review if less,,,,OPEN,
M039,pcb,AUDIO-8X8 maximum outline,PCB edge,PCB edge,mm,78 x 268,must not exceed,,,,OPEN,
M040,pcb,CM5-CARRIER maximum outline,PCB edge,PCB edge,mm,166 x 268,must not exceed,,,,OPEN,
M041,pcb,Minimum PCB to frame hardware clearance,PCB/copper/frame keepout,frame hardware,mm,3.0 minimum,>=3.0,,,,OPEN,
M042,vibration,PCB standoff unsupported span,standoff,standoff,mm,TBD,engineering review,,,,OPEN,
M043,vibration,Heavy component restraint clearance,component restraint,panel/bottom,mm,TBD,no preload on PCB,,,,OPEN,
M044,panel,Hinge harness notch width,notch edge,notch edge,mm,90.0 preliminary,release from cable bundle,,,,OPEN,
M045,panel,Hinge harness notch depth,hinge panel edge,notch edge,mm,8.0 preliminary,release from cable bundle,,,,OPEN,
M046,thermal,Minimum sidewall fan reinforcement clearance,reinforcement or guard,case ribs handle hinges latches or frame,mm,5.0 minimum,>=5.0 static plus service access,,,,OPEN,
M047,emc,PSU guard separation to audio quiet boundary,audio quiet boundary,nearest grounded PSU guard edge,mm,125.0 minimum,>=125.0 after tolerance stack,,,,OPEN,
M048,harness,Lid-display cable envelope clearance to PSU guard,HDMI USB-touch and 12 V cable envelope,nearest grounded PSU guard edge,mm,15.0 minimum,>=15.0 through full lid and panel service motion,,,,OPEN,
M049,bottom,Local floor height variation under equipment tray,deepest interior floor,highest rib or support point,mm,TBD,record profile and maximum,,,,OPEN,
M050,bottom,Bottom equipment tray material thickness,tray top,tray bottom,mm,2.0,1.8 to 2.2,,,,OPEN,
M051,bottom,Bottom equipment tray top elevation,deepest interior floor,tray top,mm,3.0 maximum,<=3.0 including restrained isolator,,,,OPEN,
M052,bottom,Panel top-face height above deepest floor,deepest interior floor,A,mm,published nominal 68.6,record actual minimum,,,,OPEN,
M053,bottom,Clear height from tray top to panel underside,tray top,panel underside,mm,published nominal 62.4 if tray top is 3.0,record actual minimum,,,,OPEN,
M054,power,Installed PSU case height,tray top,RPS-400-24-C case top,mm,43.0,+/-1.0 manufacturer body tolerance plus mounting stack,,,,OPEN,
M055,power,Installed PSU guard envelope height,deepest interior floor,tallest guard terminal cover or conductor bend,mm,48.0 maximum,<=48.0 everywhere under carrier,,,,OPEN,
