item_id,package,required,state,path_or_pattern,release_evidence,notes
G001,global,YES,READY,../../cad/kicad/reports/component-footprint-audit.md,Current controlled component and footprint audit,Must report zero blockers at release
G002,global,YES,OPEN,physical/footprint-coupon-a1-signed-results.pdf,Signed coupon result plus X-ray and microsection evidence,AK5558 AK4458 TQ2 and Kycon physical release
G003,global,YES,OPEN,physical/mechanical-release-a2-signed.pdf,Completed M001-M080 and signed release,Actual iM2300 installation geometry controls all final machining and PCB mounts
G004,global,YES,MISSING,global/pcbway-approved-stackups.pdf,PCBWay stackups with dielectric and impedance tables,Controlled impedance and copper current requirements for all boards
G005,global,YES,MISSING,global/final-release-approval.pdf,Electrical mechanical thermal safety and manufacturing signatures,Authorizes archive upload
G006,global,YES,READY,../../outputs/schematic-release-a1/Radxa-CM5-ProComm-Schematic-Release-A1.pdf,Reviewed complete sixteen-sheet schematic master,Electrical capture release only; PCB remains held
C001,cm5-carrier,YES,MISSING,01-cm5-carrier/source/CM5-Carrier.kicad_pcb,Routed KiCad PCB source,No production layout exists yet
C002,cm5-carrier,YES,MISSING,01-cm5-carrier/fabrication/CM5-Carrier-Gerber-Drill.zip,Gerber X2 or RS-274X plus plated and NPTH drill files,Include board outline and readme layer map
C003,cm5-carrier,YES,MISSING,01-cm5-carrier/assembly/CM5-Carrier-BOM.csv,Board-level BOM with exact MPN alternates DNP and supply class,Designators must match CPL and drawings
C004,cm5-carrier,YES,MISSING,01-cm5-carrier/assembly/CM5-Carrier-CPL.csv,Centroid X Y rotation side in mm,All placed SMT items
C005,cm5-carrier,YES,MISSING,01-cm5-carrier/drawings/CM5-Carrier-Fabrication.pdf,Dimensions stackup impedance drills tolerances finish and notes,Controlled drawing
C006,cm5-carrier,YES,MISSING,01-cm5-carrier/drawings/CM5-Carrier-Assembly.pdf,Top bottom designators polarity and special assembly notes,Include customer-supplied modules and DNP
C007,cm5-carrier,YES,MISSING,01-cm5-carrier/mechanical/CM5-Carrier.step,Board and fitted component 3D model,Collision checked against released enclosure STEP
C008,cm5-carrier,YES,MISSING,01-cm5-carrier/reports/CM5-Carrier-DRC.txt,Zero unresolved DRC report,Released rule set and stackup
